,Reduction,MC_Kern,MC_Mojave,MC_Antelope,MC_Ventura
106,105,288.0070109,403.9546457,293.7810489,195.846709
107,106,215.9391005,422.1135131,351.1929976,180.8840128
108,107,239.7707608,388.2319983,247.4651129,212.8409176
109,108,263.350229,385.0896979,309.23312,194.4903061
110,109,249.4606488,395.5278468,303.7748872,216.3192787
111,110,286.6888843,418.2120809,345.2004574,181.829435
112,111,264.5077023,440.9529252,356.533768,155.8142419
113,112,235.6291234,433.7081046,315.085892,185.4772151
114,113,288.8342505,403.7251374,325.7740966,162.8428222
115,114,259.24842,423.7092944,323.1332873,174.2081707
116,115,216.8612139,426.8893791,305.918761,160.5514539
117,116,255.2421631,439.8406872,341.0086245,219.0090826
118,117,258.0078976,473.3563702,366.757749,210.5700182
119,118,244.7571967,435.2970478,334.3265859,212.9323774
120,119,281.8467169,425.2716739,348.4081183,246.3865031
121,120,266.163375,409.527245,378.7252012,196.2473818
122,121,271.2301811,463.4536667,337.1058816,202.5467637
123,122,286.7846002,470.996319,360.014642,238.3586069
124,123,265.3025501,472.8626816,346.9794998,184.3098443
125,124,280.2812677,437.7745889,392.4534346,186.9183485
126,125,286.1505627,506.56504,358.6791488,193.3893236
127,126,293.8005455,471.7911991,367.9778202,236.7186924
128,127,269.4932227,528.3907598,388.7208681,258.7383507
129,128,276.8428586,498.6881049,335.694695,232.6151819
130,129,290.956476,466.6832246,388.1118451,240.0047386
131,130,285.7262322,494.6065945,359.4831074,243.4505683
132,131,305.0770627,519.6018994,438.0053298,193.556144
133,132,313.0772879,533.3532802,332.701482,169.9837613
134,133,317.2924166,541.8954132,384.2699853,273.7992498
135,134,316.2664663,551.5813848,378.5152976,225.5811252
136,135,287.2031037,489.559258,365.4044387,270.3929884
137,136,287.6096676,542.5463801,381.4671926,275.0388234
138,137,308.0288524,539.1651216,411.8870362,236.4821179
139,138,303.3774191,509.6589768,417.0765848,228.6054619
140,139,308.3060924,497.5302366,411.0102435,274.3696253
141,140,330.6174134,539.6975016,377.4124495,257.1203001
